City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Udaipur,Historical Tour,"130, Temple Road, Udaipur",November to February,7036
Imphal,Adventure Sports,"77, Market Road, Imphal",November to March,7050
Rishikesh,Food Tasting,"88, Cultural District, Rishikesh",September to February,3425
Agra,Museum Visit,"54, Main Street, Agra",September to February,2649
Surat,Historical Tour,"45, Lake Side, Surat",October to March,4075
Port Blair,Wildlife Safari,"2, Central Plaza, Port Blair",December to March,5867
Bengaluru,Food Tasting,"129, Beachside Promenade, Bengaluru",December to March,1685
Gangtok,Historical Tour,"49, Riverfront Area, Gangtok",November to March,7903
Udaipur,Temple Visit,"57, Market Road, Udaipur",October to March,1783
Amritsar,Adventure Sports,"65, Temple Road, Amritsar",October to March,14948
Puri,Trekking,"32, Hill View Road, Puri",October to February,7187
Coimbatore,Trekking,"141, Old Town, Coimbatore",December to March,7806
Indore,Shopping,"21, Lake Side, Indore",October to March,5504
Leh,Historical Tour,"38, Main Street, Leh",September to February,6428
Surat,Beach Visit,"93, Cultural District, Surat",November to February,2869
Bengaluru,Cultural Tour,"120, Central Plaza, Bengaluru",November to February,3545
Goa,Wildlife Safari,"141, Riverfront Area, Goa",October to March,5449
Delhi,Adventure Sports,"136, Cultural District, Delhi",September to February,11797
Manali,Wildlife Safari,"124, Central Plaza, Manali",October to March,9520
Jaipur,Historical Tour,"77, Riverfront Area, Jaipur",September to February,6670
Goa,Historical Tour,"105, Riverfront Area, Goa",October to March,6421
Bhubaneswar,Cultural Tour,"55, Lake Side, Bhubaneswar",October to February,7787
Lakshadweep,River Rafting,"95, Old Town, Lakshadweep",November to April,8460
Jaipur,Shopping,"127, Heritage Lane, Jaipur",September to February,4750
Mysore,Cultural Tour,"142, Cultural District, Mysore",November to February,5437
Darjeeling,Adventure Sports,"134, Market Road, Darjeeling",November to March,13471
Nagpur,Shopping,"125, Beachside Promenade, Nagpur",October to March,2582
Shimla,Wildlife Safari,"58, Old Town, Shimla",October to March,8035
Leh,Food Tasting,"144, Beachside Promenade, Leh",September to February,2780
Gangtok,Cultural Tour,"57, Central Plaza, Gangtok",October to February,5069
Shimla,Shopping,"83, Temple Road, Shimla",September to February,3748
Shimla,Cultural Tour,"9, Old Town, Shimla",September to February,4562
Madurai,Trekking,"4, Central Plaza, Madurai",December to March,7149
Diu,Historical Tour,"27, Old Town, Diu",December to March,4116
Daman,River Rafting,"25, Main Street, Daman",December to March,8285
Gangtok,Sightseeing,"98, Garden Street, Gangtok",November to March,3921
Coimbatore,Beach Visit,"47, Lake Side, Coimbatore",December to March,5827
Vadodara,Food Tasting,"78, Cultural District, Vadodara",November to February,2112
Varanasi,Historical Tour,"130, Central Plaza, Varanasi",October to March,7963
Darjeeling,River Rafting,"56, Garden Street, Darjeeling",October to February,7122
Hyderabad,River Rafting,"75, Beachside Promenade, Hyderabad",November to February,7117
Shillong,Museum Visit,"135, Beachside Promenade, Shillong",October to February,2439
Imphal,Beach Visit,"62, Cultural District, Imphal",October to February,2683
Varanasi,Historical Tour,"66, Garden Street, Varanasi",September to February,6975
Gangtok,Beach Visit,"88, Hill View Road, Gangtok",October to February,3556
Port Blair,Historical Tour,"11, Beachside Promenade, Port Blair",December to March,7831
Agartala,Museum Visit,"19, Central Plaza, Agartala",November to March,1683
Shimla,Wildlife Safari,"138, Cultural District, Shimla",October to March,6401
Imphal,Adventure Sports,"127, Riverfront Area, Imphal",October to February,7969
Diu,Food Tasting,"98, Temple Road, Diu",November to April,1516
Varanasi,Cultural Tour,"44, Garden Street, Varanasi",October to March,6479
Jodhpur,Museum Visit,"18, Market Road, Jodhpur",November to February,1190
Chennai,Historical Tour,"24, Temple Road, Chennai",December to March,5357
Daman,Cultural Tour,"106, Beachside Promenade, Daman",November to April,3795
Chennai,Historical Tour,"112, Main Street, Chennai",December to March,4298
Kochi,Food Tasting,"132, Beachside Promenade, Kochi",December to March,2671
Hyderabad,Trekking,"79, Hill View Road, Hyderabad",December to March,5311
Indore,Trekking,"58, Lake Side, Indore",October to March,4447
Daman,Food Tasting,"114, Heritage Lane, Daman",December to March,3481
Agartala,Beach Visit,"93, Hill View Road, Agartala",November to March,2548
Kavaratti,River Rafting,"79, Lake Side, Kavaratti",December to March,9306
Kolkata,Beach Visit,"29, Lake Side, Kolkata",November to March,4038
Coimbatore,Wildlife Safari,"120, Old Town, Coimbatore",November to February,6009
Lakshadweep,Sightseeing,"105, Central Plaza, Lakshadweep",December to March,4015
Pune,Cultural Tour,"9, Riverfront Area, Pune",November to February,7502
Vijayawada,Cultural Tour,"119, Temple Road, Vijayawada",November to February,5547
Vadodara,Beach Visit,"77, Cultural District, Vadodara",October to March,2797
Jaipur,River Rafting,"68, Temple Road, Jaipur",October to March,6786
Puri,Adventure Sports,"97, Central Plaza, Puri",November to March,7514
Diu,Trekking,"21, Hill View Road, Diu",November to April,5733
Diu,Sightseeing,"25, Cultural District, Diu",November to April,3710
Varanasi,Historical Tour,"31, Beachside Promenade, Varanasi",October to March,5111
Shimla,Cultural Tour,"138, Riverfront Area, Shimla",September to February,5392
Kochi,Food Tasting,"44, Garden Street, Kochi",November to February,3811
Daman,Beach Visit,"134, Temple Road, Daman",November to April,4846
Pondicherry,Adventure Sports,"80, Cultural District, Pondicherry",December to March,8137
Diu,Adventure Sports,"70, Hill View Road, Diu",December to March,8766
Rishikesh,Historical Tour,"149, Central Plaza, Rishikesh",October to March,7639
Agra,Trekking,"92, Beachside Promenade, Agra",September to February,5850
Port Blair,Historical Tour,"105, Garden Street, Port Blair",December to March,5554
Goa,Cultural Tour,"43, Lake Side, Goa",October to March,6953
Thiruvananthapuram,Historical Tour,"96, Riverfront Area, Thiruvananthapuram",December to March,6307
Varanasi,Wildlife Safari,"75, Market Road, Varanasi",September to February,8515
Jodhpur,River Rafting,"18, Heritage Lane, Jodhpur",November to February,11757
Mumbai,Adventure Sports,"40, Riverfront Area, Mumbai",October to March,9248
Rishikesh,Historical Tour,"136, Garden Street, Rishikesh",September to February,7550
Hyderabad,River Rafting,"141, Garden Street, Hyderabad",December to March,7264
Leh,Food Tasting,"70, Central Plaza, Leh",September to February,1972
Chennai,Temple Visit,"67, Cultural District, Chennai",December to March,1903
Lakshadweep,Adventure Sports,"53, Riverfront Area, Lakshadweep",December to March,10548
Delhi,Sightseeing,"71, Lake Side, Delhi",September to February,4097
Udaipur,Museum Visit,"144, Garden Street, Udaipur",November to February,1314
Hyderabad,Wildlife Safari,"6, Riverfront Area, Hyderabad",November to February,7724
Bengaluru,Beach Visit,"65, Central Plaza, Bengaluru",November to February,5705
Madurai,Beach Visit,"120, Cultural District, Madurai",December to March,2831
Shimla,Historical Tour,"139, Temple Road, Shimla",September to February,5930
Vijayawada,Museum Visit,"135, Riverfront Area, Vijayawada",December to March,2247
Port Blair,Historical Tour,"149, Temple Road, Port Blair",December to March,5024
Kolkata,Sightseeing,"32, Beachside Promenade, Kolkata",October to February,5088
Bengaluru,Trekking,"34, Hill View Road, Bengaluru",November to February,4304
Vadodara,Sightseeing,"14, Cultural District, Vadodara",November to February,4254
Delhi,Adventure Sports,"136, Main Street, Delhi",September to February,7751
Port Blair,Museum Visit,"47, Heritage Lane, Port Blair",December to March,1088
Vijayawada,Trekking,"118, Temple Road, Vijayawada",December to March,5945
Amritsar,River Rafting,"52, Main Street, Amritsar",September to February,7779
Diu,Historical Tour,"136, Lake Side, Diu",December to March,3394
Mysore,Shopping,"115, Riverfront Area, Mysore",November to February,2470
Shimla,Museum Visit,"121, Temple Road, Shimla",September to February,1061
